"BELNR","WAERS","BUKRS","KTOSL","PRCTR","BSCHL","HKONT","DMBTR","WRBTR","label"
"532942","W59","C13","P83","I73","I05","Q99","92445515.6116","59585038.4531","global"
"532967","M07","S42","J81","A14","O49","Z01","92445529.3506","59585030.9733","global"
"532917","J82","Q22","P32","Z74","Y19","K27","92445534.656","59585038.9215","global"
"532923","T17","R47","D84","F38","I81","D68","92445523.241","59585047.5664","global"
"532958","Q82","S54","J53","T46","Y42","S06","92445529.9899","59585028.7942","global"
"532939","B00","O64","T41","Y68","H15","L79","92445518.3706","59585026.0924","global"
"532934","D88","B37","D51","F69","N50","M13","92445521.0005","59585043.925","global"
"532955","P03","M90","U27","R22","S15","N95","92445512.7124","59585044.6612","global"
"532932","R07","U18","V96","L28","K79","K77","92445516.5836","59585038.7989","global"
"532964","L82","G45","G19","W37","A49","U45","92445503.8262","59585035.9197","global"
"532937","P37","S83","S23","U16","N35","C42","92445516.8683","59585018.6138","global"
"532971","D48","L43","R89","B72","Y59","D00","92445533.9446","59585046.5992","global"
"532969","H01","E65","O50","F20","M83","V78","92445517.8108","59585034.2642","global"
"532930","G92","W69","K78","J13","W62","S49","92445535.2106","59585050.5582","global"
"532922","O43","R07","N80","J39","T90","V92","92445518.2981","59585041.1988","global"
"532973","W25","G35","K00","C11","B38","C25","92445498.6237","59585051.0331","global"
"532972","S31","G87","A19","H01","U81","Z02","92445515.2009","59585028.796","global"
"532912","O37","K17","N40","M51","F99","U09","92445524.4404","59585031.934","global"
"532927","K11","Q00","R19","U99","F24","N10","92445511.5839","59585057.6133","global"
"532968","K99","T17","C84","L74","T28","N47","92445506.6853","59585013.6745","global"
"532941","E15","M55","V86","X23","J72","R19","92445512.7712","59585064.5097","global"
"532961","G38","L49","J67","O92","L36","K45","92445516.8082","59585030.9065","global"
"532944","L26","Q54","W66","D88","I57","J90","92445523.8452","59585045.2316","global"
"532951","Z06","H26","W22","Q11","T83","D25","92445525.7899","59585058.4756","global"
"532953","P31","Z98","I08","M66","B43","F54","92445526.5137","59585025.1595","global"
"532918","N43","S55","R08","N40","A10","T91","92445523.4338","59585053.2912","global"
"532914","O64","W24","S79","X72","Z74","J09","92445519.6935","59585044.0803","global"
"532911","Q52","G37","L09","L03","C31","L31","92445533.2032","59585048.7997","global"
"532979","T68","A89","L29","H65","I26","Q69","92445504.4746","59585023.9884","global"
"532946","H50","I98","F19","M46","O26","T37","92445516.329","59585048.2113","global"
"532928","D52","P33","F45","L40","F67","T15","92445523.3713","59585058.3137","global"
"532966","H54","Q11","X82","H69","J21","R89","92445515.7185","59585046.4679","global"
"532977","J73","K76","Q44","K32","H00","A42","92445510.3086","59585053.4903","global"
"532920","P79","N56","N39","P47","H17","S52","92445513.9541","59585027.233","global"
"532956","P37","R01","B83","V44","M24","K56","92445501.4775","59585038.0864","global"
"532978","O37","J69","P13","K26","S16","H03","92445515.718","59585037.085","global"
"532940","N15","G51","G09","S21","E99","W62","92445526.5096","59585054.2506","global"
"532938","B39","H97","S57","N58","F04","Q93","92445521.025","59585045.383","global"
"532945","H84","O65","X59","S63","A81","W03","92445528.4263","59585045.6984","global"
"532925","S12","V98","Y75","X00","W61","O94","92445540.6173","59585039.5149","global"
"532950","N09","A43","U50","C72","I53","F05","92445510.9455","59585044.9291","global"
"532960","E00","W67","W79","T97","N82","J10","92445516.8528","59585037.0177","global"
"532962","Y59","O97","B06","T34","R82","Y03","92445513.1613","59585038.2502","global"
"532926","O67","S07","Q28","O48","T24","H70","92445518.916","59585028.1927","global"
"532933","T65","W86","V91","J21","O91","F02","92445523.5295","59585041.6352","global"
"532915","C91","S91","V74","X71","U05","U92","92445501.0726","59585030.9961","global"
"532947","T28","V24","K80","V23","P72","W12","92445527.7479","59585036.8403","global"
"532970","L47","W77","C76","K02","M65","H02","92445516.8092","59585043.9342","global"
"532916","J13","M59","N30","E40","W84","I18","92445514.7849","59585020.4553","global"
"532913","I86","Y63","P12","V25","N67","E35","92445529.9169","59585045.5265","global"
"532965","R09","H05","D89","B70","Z68","K21","92445506.0141","59585027.8858","global"
"532919","Z37","J34","U11","G29","Y78","M08","92445511.9523","59585051.8422","global"
"532952","Z54","P69","L59","C55","W57","D02","92445515.0891","59585051.4266","global"
"532924","J15","Y41","B12","T42","O19","U00","92445520.4379","59585036.1641","global"
"532936","J41","H70","P46","R91","L19","Q81","92445508.8329","59585054.3618","global"
"532921","X26","I61","J33","K49","L72","I19","92445519.7776","59585048.9945","global"
"532949","B31","X34","P17","Q98","F93","Y23","92445517.2775","59585039.4991","global"
"532929","E59","R76","D30","M02","D16","B35","92445514.3372","59585044.6714","global"
"532931","T87","V13","R30","C03","F26","G64","92445533.6596","59585040.4788","global"
"532935","V89","Z78","I94","E15","O46","K87","92445495.0435","59585040.4826","global"
"532974","U94","K13","K84","U04","N56","N94","92445503.3193","59585040.0362","global"
"532975","F66","W71","M10","F92","B31","F03","92445529.812","59585044.5224","global"
"532957","E26","B76","C39","U14","R07","T45","92445517.6595","59585041.5495","global"
"532943","H45","W38","L17","E19","S43","T94","92445511.4199","59585054.4729","global"
"532976","S05","E83","L07","Z63","K43","L70","92445518.9462","59585031.0897","global"
"532963","Z06","G77","Z22","R09","V09","X53","92445528.4478","59585039.2481","global"
"532954","J38","C30","G28","T38","C62","L03","92445511.2932","59585034.3351","global"
"532948","U72","D58","E35","Y05","D53","F61","92445511.3357","59585054.2613","global"
"532959","C89","S43","E40","Y34","L29","N28","92445526.1337","59585044.2406","global"
"532910","P36","V48","Z17","J68","Q50","J62","92445537.9922","59585042.3668","global"
